15-09-2023 13:02:14.718 [http-nio-8080-exec-2] [student-forum, ] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
15-09-2023 13:02:14.719 [http-nio-8080-exec-2] [student-forum, ] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
15-09-2023 13:02:14.721 [http-nio-8080-exec-2] [student-forum, ] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 2 ms
15-09-2023 13:02:14.798 [http-nio-8080-exec-2] [student-forum, ] ERROR c.o.s.services.PostService.createNewPost - User or post preferences not found. User: null , post preference PostPreferences(id=1, interactionEnvironment=boun, postCategory=housing)
15-09-2023 13:02:59.633 [SpringApplicationShutdownHook] [student-forum, ] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
15-09-2023 13:02:59.635 [SpringApplicationShutdownHook] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
15-09-2023 13:02:59.638 [SpringApplicationShutdownHook] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
15-09-2023 13:03:00.912 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarting - Starting StudentforumApplication using Java 17.0.6 with PID 53590 (/Users/furkan/Desktop/repos/student-forum/backend/studentforum/target/classes started by furkan in /Users/furkan/Desktop/repos/student-forum/backend)
15-09-2023 13:03:00.913 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
15-09-2023 13:03:00.927 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15-09-2023 13:03:00.927 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
