20-09-2023 19:12:32.846 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarting - Starting StudentforumApplication using Java 17.0.6 with PID 19276 (/Users/furkan/Desktop/repos/student-forum/backend/studentforum/target/classes started by furkan in /Users/furkan/Desktop/repos/student-forum/backend)
20-09-2023 19:12:32.852 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
20-09-2023 19:12:32.872 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
20-09-2023 19:12:32.873 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
20-09-2023 19:12:33.155 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20-09-2023 19:12:33.189 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 30 ms. Found 10 JPA repository interfaces.
20-09-2023 19:12:33.452 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
20-09-2023 19:12:33.457 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
20-09-2023 19:12:33.457 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
20-09-2023 19:12:33.457 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.12]
20-09-2023 19:12:33.485 [restartedMain] [student-forum, ] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
20-09-2023 19:12:33.485 [restartedMain] [student-forum, ] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 612 ms
20-09-2023 19:12:33.523 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
20-09-2023 19:12:33.684 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@22ba1d41
20-09-2023 19:12:33.685 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
20-09-2023 19:12:33.723 [restartedMain] [student-forum, ] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
20-09-2023 19:12:33.752 [restartedMain] [student-forum, ] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.2.7.Final
20-09-2023 19:12:33.753 [restartedMain] [student-forum, ] INFO  org.hibernate.cfg.Environment.<clinit> - HHH000406: Using bytecode reflection optimizer
20-09-2023 19:12:33.807 [restartedMain] [student-forum, ] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
20-09-2023 19:12:33.858 [restartedMain] [student-forum, ] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
20-09-2023 19:12:33.997 [restartedMain] [student-forum, ] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
20-09-2023 19:12:34.273 [restartedMain] [student-forum, ] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20-09-2023 19:12:34.423 [restartedMain] [student-forum, ] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
20-09-2023 19:12:34.761 [restartedMain] [student-forum, ] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20-09-2023 19:12:34.869 [restartedMain] [student-forum, ] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4762dfce, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3250705d, org.springframework.security.web.context.SecurityContextHolderFilter@37c7f9e5, org.springframework.security.web.header.HeaderWriterFilter@107bfe74, org.springframework.web.filter.CorsFilter@69760963, org.springframework.security.web.authentication.logout.LogoutFilter@11eed5bd, com.omerfurkan.studentforum.security.JwtAuthenticationFilter@7529516, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6d83189f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@534e2d9b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1f7692c9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@29bf6f04, org.springframework.security.web.session.SessionManagementFilter@5b9d5e55, org.springframework.security.web.access.ExceptionTranslationFilter@38b5010b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2010c37e]
20-09-2023 19:12:34.946 [restartedMain] [student-forum, ] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
20-09-2023 19:12:34.956 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
20-09-2023 19:12:34.964 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
20-09-2023 19:12:34.970 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarted - Started StudentforumApplication in 2.258 seconds (process running for 3.011)
20-09-2023 19:13:18.072 [http-nio-8080-exec-2] [student-forum, ] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
20-09-2023 19:13:18.072 [http-nio-8080-exec-2] [student-forum, ] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
20-09-2023 19:13:18.074 [http-nio-8080-exec-2] [student-forum, ] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 2 ms
20-09-2023 19:25:22.410 [SpringApplicationShutdownHook] [student-forum, ] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
20-09-2023 19:25:22.414 [SpringApplicationShutdownHook] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
20-09-2023 19:25:22.419 [SpringApplicationShutdownHook] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
20-09-2023 19:25:24.846 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarting - Starting StudentforumApplication using Java 17.0.6 with PID 20154 (/Users/furkan/Desktop/repos/student-forum/backend/studentforum/target/classes started by furkan in /Users/furkan/Desktop/repos/student-forum/backend)
20-09-2023 19:25:24.847 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
20-09-2023 19:25:24.865 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
20-09-2023 19:25:24.865 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
20-09-2023 19:25:25.160 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
